Cycle,Instr,Op,Fct3,Rd,Rs1,Rs2,RegWrite,ALUSrc,FwdA,FwdB,MemRd,MemWr,WBSel,bne
0,,,,,,,False,False,,,False,False,alu,False
1,,,,,,,False,False,,,False,False,alu,False
2,336771,lw,2,7,10,,True,True,,,True,False,mem,False
3,3146387,addi,0,5,0,,True,True,,,False,False,alu,False
4,238339,lw,2,6,7,,True,True,MEM/WB,,True,False,mem,False
5,,,,,,,False,False,,,False,False,alu,False
6,1245971,addi,0,6,6,,True,True,MEM/WB,,False,False,alu,False
7,6529059,sw,2,,7,6,False,True,,EX/MEM,False,True,alu,False
8,4424595,addi,0,7,7,,True,True,,,False,False,alu,False
9,4294083219,addi,0,5,5,,True,True,,,False,False,alu,False
10,4261582563,bne,1,,5,0,False,False,EX/MEM,,False,False,alu,True
11,,,,,,,False,False,,,False,False,alu,False
12,238339,lw,2,6,7,,True,True,,,True,False,mem,False
13,,,,,,,False,False,,,False,False,alu,False
14,1245971,addi,0,6,6,,True,True,MEM/WB,,False,False,alu,False
15,6529059,sw,2,,7,6,False,True,,EX/MEM,False,True,alu,False
16,4424595,addi,0,7,7,,True,True,,,False,False,alu,False
17,4294083219,addi,0,5,5,,True,True,,,False,False,alu,False
18,4261582563,bne,1,,5,0,False,False,EX/MEM,,False,False,alu,True
19,,,,,,,False,False,,,False,False,alu,False
20,238339,lw,2,6,7,,True,True,,,True,False,mem,False
21,,,,,,,False,False,,,False,False,alu,False
22,1245971,addi,0,6,6,,True,True,MEM/WB,,False,False,alu,False
23,6529059,sw,2,,7,6,False,True,,EX/MEM,False,True,alu,False
24,4424595,addi,0,7,7,,True,True,,,False,False,alu,False
25,4294083219,addi,0,5,5,,True,True,,,False,False,alu,False
26,4261582563,bne,1,,5,0,False,False,EX/MEM,,False,False,alu,True
27,,,,,,,False,False,,,False,False,alu,False
28,,,,,,,False,False,,,False,False,alu,False
