Cycle,Instr,Op,Fct3,Rd,Rs1,Rs2,RegWrite,ALUSrc,FwdA,FwdB,MemRd,MemWr,WBSel,bne
0,,,,,,,False,False,,,False,False,alu,False
1,,,,,,,False,False,,,False,False,alu,False
2,336771,lw,2,7,10,,True,True,,,True,False,mem,False
3,,,,,,,False,False,,,False,False,alu,False
4,238339,lw,2,6,7,,True,True,MEM/WB,,True,False,mem,False
5,,,,,,,False,False,,,False,False,alu,False
6,1245971,addi,0,6,6,,True,True,MEM/WB,,False,False,alu,False
7,6529059,sw,2,,7,6,False,True,,EX/MEM,False,True,alu,False
8,4432643,lw,2,6,7,,True,True,,,True,False,mem,False
9,,,,,,,False,False,,,False,False,alu,False
10,1245971,addi,0,6,6,,True,True,MEM/WB,,False,False,alu,False
11,6529571,sw,2,,7,6,False,True,,EX/MEM,False,True,alu,False
12,8626947,lw,2,6,7,,True,True,,,True,False,mem,False
13,,,,,,,False,False,,,False,False,alu,False
14,1245971,addi,0,6,6,,True,True,MEM/WB,,False,False,alu,False
15,6530083,sw,2,,7,6,False,True,,EX/MEM,False,True,alu,False
16,,,,,,,False,False,,,False,False,alu,False
17,,,,,,,False,False,,,False,False,alu,False
