elements,threads,run,median
10,1,0.003557443618774414,
10,1,0.0001125335693359375,
10,1,8.916854858398438e-05,
10,1,,0.0001125335693359375
50,1,0.00013589859008789062,
50,1,0.00010466575622558594,
50,1,0.00011491775512695312,
50,1,,0.00011491775512695312
100,1,0.00021147727966308594,
100,1,0.0001614093780517578,
100,1,0.0001461505889892578,
100,1,,0.0001614093780517578
250,1,0.0008842945098876953,
250,1,0.0007369518280029297,
250,1,0.0006299018859863281,
250,1,,0.0007369518280029297
500,1,0.0037958621978759766,
500,1,0.0032677650451660156,
500,1,0.002877950668334961,
500,1,,0.0032677650451660156
750,1,0.010978221893310547,
750,1,0.010309696197509766,
750,1,0.00948333740234375,
750,1,,0.010309696197509766
1000,1,0.01761794090270996,
1000,1,0.016285181045532227,
1000,1,0.015842676162719727,
1000,1,,0.016285181045532227
2500,1,0.2509274482727051,
2500,1,0.23170757293701172,
2500,1,0.23245930671691895,
2500,1,,0.23245930671691895
5000,1,1.5251133441925049,
5000,1,1.4515211582183838,
5000,1,1.4548289775848389,
5000,1,,1.4548289775848389
7500,1,4.237564325332642,
7500,1,4.100315570831299,
7500,1,4.128747463226318,
7500,1,,4.128747463226318
10000,1,10.733550310134888,
10000,1,9.892460346221924,
10000,1,9.904455661773682,
10000,1,,9.904455661773682
