elements,run,median
10,0.002817869186401367,
10,0.001226186752319336,
10,0.0011010169982910156,
10,,0.001226186752319336
50,0.0017266273498535156,
50,0.0013728141784667969,
50,0.0013818740844726562,
50,,0.0013818740844726562
100,0.0017552375793457031,
100,0.0016903877258300781,
100,0.0016756057739257812,
100,,0.0016903877258300781
250,0.0033538341522216797,
250,0.003284454345703125,
250,0.0033173561096191406,
250,,0.0033173561096191406
500,0.01148223876953125,
500,0.008789539337158203,
500,0.008751392364501953,
500,,0.008789539337158203
750,0.018189430236816406,
750,0.017589807510375977,
750,0.017531633377075195,
750,,0.017589807510375977
1000,0.02703571319580078,
1000,0.026728391647338867,
1000,0.023982524871826172,
1000,,0.026728391647338867
2500,0.09642934799194336,
2500,0.09488177299499512,
2500,0.07239937782287598,
2500,,0.09488177299499512
5000,0.42077088356018066,
5000,0.4197854995727539,
5000,0.42325663566589355,
5000,,0.42077088356018066
7500,1.288167953491211,
7500,1.2865147590637207,
7500,1.2913496494293213,
7500,,1.288167953491211
10000,2.9626107215881348,
10000,2.9679551124572754,
10000,2.977914810180664,
10000,,2.9679551124572754
15000,9.714036464691162,
15000,9.825241327285767,
15000,9.918909788131714,
15000,,9.825241327285767
